Item No.,Voltage (V),Prop,Throttle,Current (A),Power (W),Thrust (G),RPM,Efficiency (G/W),Operating Temperature (C)
"X-U8Ⅱ UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,G28*9.2,65%,30.19,181.14,5888.0,2479.0,80.57,95.0
"X-U8Ⅱ UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,G28*9.2,70%,36.24,217.44,6630.0,2630.0,80.46,95.0
"X-U8Ⅱ UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,G28*9.2,75%,42.98,257.88,7390.0,2772.0,80.0,95.0
"X-U8Ⅱ UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,G28*9.2,80%,50.71,304.26,8193.0,2914.0,79.56,95.0
"X-U8Ⅱ UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,G28*9.2,85%,58.74,352.44,8960.0,3041.0,78.66,95.0
"X-U8Ⅱ UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,G28*9.2,90%,66.33,397.98,9661.0,3147.0,78.17,95.0
"X-U8Ⅱ UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,G28*9.2,95%,69.84,419.04,9924.0,3193.0,77.72,95.0
"X-U8Ⅱ UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,G28*9.2,100%,65.68,394.08,10193.0,3292.0,77.63,95.0
505-X Integrated Propulsion System for Aerial Photograph Drone,24.0,MF2211,40%,7.71,184.0,1953.0,2612.0,10.62,88.0
505-X Integrated Propulsion System for Aerial Photograph Drone,24.0,MF2211,45%,10.28,244.0,2395.0,2884.0,9.8,88.0
505-X Integrated Propulsion System for Aerial Photograph Drone,24.0,MF2211,50%,13.31,315.0,2851.0,3147.0,9.04,88.0
505-X Integrated Propulsion System for Aerial Photograph Drone,24.0,MF2211,55%,16.75,396.0,3328.0,3399.0,8.41,88.0
505-X Integrated Propulsion System for Aerial Photograph Drone,24.0,MF2211,60%,20.61,485.0,3817.0,3641.0,7.87,88.0
505-X Integrated Propulsion System for Aerial Photograph Drone,24.0,MF2211,65%,24.98,585.0,4318.0,3873.0,7.38,88.0
505-X Integrated Propulsion System for Aerial Photograph Drone,24.0,MF2211,70%,29.68,692.0,4824.0,4092.0,6.97,88.0
505-X Integrated Propulsion System for Aerial Photograph Drone,24.0,MF2211,75%,34.82,807.0,5328.0,4296.0,6.6,88.0
505-X Integrated Propulsion System for Aerial Photograph Drone,24.0,MF2211,80%,40.29,929.0,5819.0,4491.0,6.26,88.0
505-X Integrated Propulsion System for Aerial Photograph Drone,24.0,MF2211,85%,45.99,1054.0,6289.0,4672.0,5.97,88.0
505-X Integrated Propulsion System for Aerial Photograph Drone,24.0,MF2211,90%,52.25,1190.0,6764.0,4849.0,5.69,88.0
505-X Integrated Propulsion System for Aerial Photograph Drone,24.0,MF2211,95%,55.7,1263.0,7014.0,4935.0,5.55,88.0
505-X Integrated Propulsion System for Aerial Photograph Drone,24.0,MF2211,100%,56.45,1279.0,7050.0,4952.0,5.51,88.0
505-X Integrated Propulsion System for Aerial Photograph Drone,24.0,MF1806,40%,5.05,120.79,1169.0,3235.0,9.68,83.0
505-X Integrated Propulsion System for Aerial Photograph Drone,24.0,MF1806,45%,6.58,157.12,1443.0,3593.0,9.18,83.0
505-X Integrated Propulsion System for Aerial Photograph Drone,24.0,MF1806,50%,8.51,202.65,1742.0,3952.0,8.6,83.0
505-X Integrated Propulsion System for Aerial Photograph Drone,24.0,MF1806,55%,10.7,254.17,2069.0,4305.0,8.14,83.0
505-X Integrated Propulsion System for Aerial Photograph Drone,24.0,MF1806,60%,13.24,313.79,2415.0,4647.0,7.7,83.0
505-X Integrated Propulsion System for Aerial Photograph Drone,24.0,MF1806,65%,16.13,381.22,2783.0,4986.0,7.3,83.0
505-X Integrated Propulsion System for Aerial Photograph Drone,24.0,MF1806,70%,19.39,456.66,3162.0,5312.0,6.92,83.0
505-X Integrated Propulsion System for Aerial Photograph Drone,24.0,MF1806,75%,23.06,541.16,3558.0,5633.0,6.57,83.0
505-X Integrated Propulsion System for Aerial Photograph Drone,24.0,MF1806,80%,27.08,632.99,3966.0,5944.0,6.27,83.0
505-X Integrated Propulsion System for Aerial Photograph Drone,24.0,MF1806,85%,31.48,732.34,4376.0,6245.0,5.98,83.0
505-X Integrated Propulsion System for Aerial Photograph Drone,24.0,MF1806,90%,36.21,838.28,4790.0,6535.0,5.71,83.0
505-X Integrated Propulsion System for Aerial Photograph Drone,24.0,MF1806,95%,41.0,944.53,5190.0,6802.0,5.49,83.0
505-X Integrated Propulsion System for Aerial Photograph Drone,24.0,MF1806,100%,41.88,963.92,5260.0,6848.0,5.46,83.0
"A8-X_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",51.8,MF3119,30%,3.21,173.34,2245.0,1524.0,82.56,110.0
"A8-X_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",51.8,MF3119,35%,4.99,269.46,3127.0,1784.0,83.51,110.0
"A8-X_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",51.8,MF3119,40%,7.29,393.66,4150.0,2041.0,84.86,110.0
"A8-X_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",51.8,MF3119,45%,10.23,552.42,5286.0,2294.0,84.92,110.0
"A8-X_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",51.8,MF3119,50%,13.81,745.74,6552.0,2535.0,84.78,110.0
"A8-X_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",51.8,MF3119,55%,18.08,976.32,7895.0,2773.0,84.72,110.0
"A8-X_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",51.8,MF3119,60%,23.1,1247.4,9337.0,3003.0,84.33,110.0
"A8-X_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",51.8,MF3119,65%,28.78,1554.12,10805.0,3223.0,83.71,110.0
"A8-X_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",51.8,MF3119,70%,35.15,1898.1,12339.0,3433.0,82.83,110.0
"A8-X_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",51.8,MF3119,75%,42.14,2275.56,13871.0,3632.0,81.93,110.0
"A8-X_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",51.8,MF3119,80%,49.48,2671.92,15363.0,3815.0,81.07,110.0
"A8-X_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",51.8,MF3119,85%,56.83,3068.82,16736.0,3972.0,79.6,110.0
"A8-X_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",51.8,MF3119,90%,63.89,3450.06,17915.0,4108.0,78.68,110.0
"A8-X_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",51.8,MF3119,95%,70.83,3824.82,18988.0,4225.0,77.28,110.0
"A8-X_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",51.8,MF3119,100%,71.41,3856.14,19048.0,4235.0,77.15,110.0
"X-A16-24S_Coaxial_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",92.0,EFZ63P,30%,9.24,850.08,13308.0,739.0,97.73,89.0
"X-A16-24S_Coaxial_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",92.0,EFZ63P,35%,17.61,1620.12,20090.0,900.0,95.8,89.0
"X-A16-24S_Coaxial_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",92.0,EFZ63P,40%,27.77,2554.84,27609.0,1053.0,94.44,89.0
"X-A16-24S_Coaxial_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",92.0,EFZ63P,45%,42.66,3924.72,36238.0,1201.0,91.57,89.0
"X-A16-24S_Coaxial_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",92.0,EFZ63P,50%,57.61,5300.12,45620.0,1341.0,90.26,89.0
"X-A16-24S_Coaxial_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",92.0,EFZ63P,55%,82.74,7612.08,55633.0,1477.0,89.75,89.0
"X-A16-24S_Coaxial_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",92.0,EFZ63P,60%,104.08,9575.36,65819.0,1604.0,89.64,89.0
"X-A16-24S_Coaxial_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",92.0,EFZ63P,65%,133.97,12325.24,76559.0,1728.0,89.42,89.0
"X-A16-24S_Coaxial_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",92.0,EFZ63P,70%,165.64,15238.88,87641.0,1843.0,88.4,89.0
"X-A16-24S_Coaxial_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",92.0,EFZ63P,75%,202.78,18655.76,98972.0,1954.0,86.73,89.0
"X-A16-24S_Coaxial_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",92.0,EFZ63P,80%,239.98,22078.16,109819.0,2058.0,85.93,89.0
"X-A16-24S_Coaxial_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",92.0,EFZ63P,85%,272.53,25072.76,118547.0,2134.0,84.81,89.0
"X-A16-24S_Coaxial_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",92.0,EFZ63P,90%,306.62,28209.04,126717.0,2200.0,83.12,89.0
"X-A16-24S_Coaxial_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",92.0,EFZ63P,95%,332.53,30592.76,131956.0,2244.0,81.86,89.0
"X-A16-24S_Coaxial_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",92.0,EFZ63P,100%,342.59,31518.28,132510.0,2245.0,79.56,89.0
"X-601 UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,P20*6,40%,4.08,48.96,1732.0,2928.0,74.32,67.0
"X-601 UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,P20*6,45%,5.53,66.36,2201.0,3264.0,76.68,67.0
"X-601 UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,P20*6,50%,7.25,87.0,2728.0,3592.0,78.55,67.0
"X-601 UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,P20*6,55%,9.28,111.36,3302.0,3921.0,80.27,67.0
"X-601 UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,P20*6,60%,11.79,141.48,3927.0,4256.0,81.13,67.0
"X-601 UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,P20*6,65%,14.57,174.84,4602.0,4580.0,82.24,67.0
"X-601 UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,P20*6,70%,17.78,213.36,5303.0,4896.0,83.18,67.0
"X-601 UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,P20*6,75%,21.46,257.52,6036.0,5203.0,83.06,67.0
"X-601 UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,P20*6,80%,25.68,308.16,6831.0,5516.0,83.32,67.0
"X-601 UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,P20*6,85%,30.31,363.72,7649.0,5817.0,83.45,67.0
"X-601 UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,P20*6,90%,35.45,425.4,8476.0,6107.0,83.22,67.0
"X-601 UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,P20*6,95%,40.44,485.28,9264.0,6372.0,83.2,67.0
"X-601 UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,P20*6,100%,43.26,519.12,9691.0,6502.0,83.15,67.0
"X-601 UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,P20*6,40%,6.84,41.04,1475.0,2738.0,72.09,54.0
"X-601 UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,P20*6,45%,9.15,54.9,1862.0,3045.0,74.49,54.0
"X-601 UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,P20*6,50%,11.95,71.7,2307.0,3346.0,76.89,54.0
"X-601 UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,P20*6,55%,15.22,91.32,2759.0,3641.0,78.27,54.0
"X-601 UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,P20*6,60%,19.11,114.66,3273.0,3937.0,79.23,54.0
"X-601 UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,P20*6,65%,23.47,140.82,3812.0,4219.0,80.0,54.0
"X-601 UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,P20*6,70%,28.31,169.86,4357.0,4489.0,80.34,54.0
"X-601 UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,P20*6,75%,33.75,202.5,4934.0,4751.0,80.63,54.0
"X-601 UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,P20*6,80%,39.77,238.62,5519.0,5007.0,80.77,54.0
"X-601 UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,P20*6,85%,46.24,277.44,6088.0,5252.0,80.78,54.0
"X-601 UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,P20*6,90%,52.82,316.92,6630.0,5467.0,80.63,54.0
"X-601 UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,P20*6,95%,56.19,337.14,6887.0,5570.0,80.59,54.0
"X-601 UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",12.0,P20*6,100%,60.12,360.72,7012.0,5569.0,80.61,54.0
701-X Aerial Photograph Drone Propulsion Combo Set,48.0,MF2614,40%,5.5,264.0,2843.0,2283.0,10.78,74.0
701-X Aerial Photograph Drone Propulsion Combo Set,48.0,MF2614,45%,7.39,354.0,3477.0,2531.0,9.82,74.0
701-X Aerial Photograph Drone Propulsion Combo Set,48.0,MF2614,50%,9.6,459.0,4165.0,2768.0,9.07,74.0
701-X Aerial Photograph Drone Propulsion Combo Set,48.0,MF2614,55%,12.18,582.0,4877.0,2998.0,8.38,74.0
701-X Aerial Photograph Drone Propulsion Combo Set,48.0,MF2614,60%,15.22,726.0,5664.0,3221.0,7.8,74.0
701-X Aerial Photograph Drone Propulsion Combo Set,48.0,MF2614,65%,18.67,889.0,6455.0,3438.0,7.26,74.0
701-X Aerial Photograph Drone Propulsion Combo Set,48.0,MF2614,70%,22.55,1071.0,7273.0,3648.0,6.79,74.0
701-X Aerial Photograph Drone Propulsion Combo Set,48.0,MF2614,75%,26.99,1279.0,8114.0,3850.0,6.35,74.0
701-X Aerial Photograph Drone Propulsion Combo Set,48.0,MF2614,80%,31.87,1505.0,8930.0,4039.0,5.93,74.0
701-X Aerial Photograph Drone Propulsion Combo Set,48.0,MF2614,85%,37.18,1751.0,9701.0,4205.0,5.54,74.0
701-X Aerial Photograph Drone Propulsion Combo Set,48.0,MF2614,90%,42.58,1998.0,10352.0,4340.0,5.18,74.0
701-X Aerial Photograph Drone Propulsion Combo Set,48.0,MF2614,95%,45.21,2119.0,10631.0,4386.0,5.02,74.0
701-X Aerial Photograph Drone Propulsion Combo Set,48.0,MF2614,100%,45.35,2126.0,10581.0,4381.0,4.98,74.0
"A16-24S_Single-Axis 24S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",92.0,EFZ63P,30%,9.05,832.6,12012.0,876.0,86.8,76.0
"A16-24S_Single-Axis 24S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",92.0,EFZ63P,35%,13.12,1207.04,15973.0,996.0,89.9,76.0
"A16-24S_Single-Axis 24S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",92.0,EFZ63P,40%,18.44,1696.48,20402.0,1116.0,91.5,76.0
"A16-24S_Single-Axis 24S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",92.0,EFZ63P,45%,24.81,2282.52,25105.0,1260.0,92.7,76.0
"A16-24S_Single-Axis 24S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",92.0,EFZ63P,50%,32.52,2991.84,29951.0,1356.0,92.5,76.0
"A16-24S_Single-Axis 24S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",92.0,EFZ63P,55%,41.32,3801.44,35394.0,1452.0,91.9,76.0
"A16-24S_Single-Axis 24S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",92.0,EFZ63P,60%,50.67,4661.64,40166.0,1576.0,91.4,76.0
"A16-24S_Single-Axis 24S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",92.0,EFZ63P,65%,61.48,5656.16,45502.0,1657.0,91.1,76.0
"A16-24S_Single-Axis 24S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",92.0,EFZ63P,70%,74.01,6808.92,51151.0,1778.0,89.9,76.0
"A16-24S_Single-Axis 24S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",92.0,EFZ63P,75%,86.95,7999.4,56618.0,1848.0,89.6,76.0
"A16-24S_Single-Axis 24S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",92.0,EFZ63P,80%,103.79,9548.68,62754.0,1959.0,89.1,76.0
"A16-24S_Single-Axis 24S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",92.0,EFZ63P,85%,121.52,11179.84,68611.0,2028.0,86.5,76.0
"A16-24S_Single-Axis 24S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",92.0,EFZ63P,90%,133.68,12298.56,72671.0,2088.0,85.7,76.0
"A16-24S_Single-Axis 24S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",92.0,EFZ63P,95%,148.48,13660.16,77006.0,2139.0,84.0,76.0
"A16-24S_Single-Axis 24S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",92.0,EFZ63P,100%,165.78,15251.76,80586.0,2190.0,82.0,76.0
601-X Integrated Propulsion System for Aerial Photograph Drone,48.0,MF2009,40%,2.6,125.0,1382.0,2782.0,11.07,67.0
601-X Integrated Propulsion System for Aerial Photograph Drone,48.0,MF2009,45%,3.44,165.0,1711.0,3092.0,10.36,67.0
601-X Integrated Propulsion System for Aerial Photograph Drone,48.0,MF2009,50%,4.47,215.0,2075.0,3403.0,9.67,67.0
601-X Integrated Propulsion System for Aerial Photograph Drone,48.0,MF2009,55%,5.69,273.0,2465.0,3708.0,9.03,67.0
601-X Integrated Propulsion System for Aerial Photograph Drone,48.0,MF2009,60%,7.1,340.0,2883.0,4010.0,8.47,67.0
601-X Integrated Propulsion System for Aerial Photograph Drone,48.0,MF2009,65%,8.74,419.0,3335.0,4306.0,7.96,67.0
601-X Integrated Propulsion System for Aerial Photograph Drone,48.0,MF2009,70%,10.6,507.0,3808.0,4600.0,7.51,67.0
601-X Integrated Propulsion System for Aerial Photograph Drone,48.0,MF2009,75%,12.69,607.0,4298.0,4888.0,7.09,67.0
601-X Integrated Propulsion System for Aerial Photograph Drone,48.0,MF2009,80%,15.02,717.0,4809.0,5169.0,6.71,67.0
601-X Integrated Propulsion System for Aerial Photograph Drone,48.0,MF2009,85%,17.59,839.0,5326.0,5446.0,6.35,67.0
601-X Integrated Propulsion System for Aerial Photograph Drone,48.0,MF2009,90%,20.44,973.0,5858.0,5714.0,6.02,67.0
601-X Integrated Propulsion System for Aerial Photograph Drone,48.0,MF2009,95%,23.47,1116.0,6415.0,5977.0,5.75,67.0
601-X Integrated Propulsion System for Aerial Photograph Drone,48.0,MF2009,100%,25.46,1209.0,6747.0,6137.0,5.58,67.0
601-X Integrated Propulsion System for Aerial Photograph Drone,48.0,MF2009,40%,4.66,111.0,1261.0,2655.0,11.31,54.0
601-X Integrated Propulsion System for Aerial Photograph Drone,48.0,MF2009,45%,6.16,147.0,1560.0,2947.0,10.59,54.0
601-X Integrated Propulsion System for Aerial Photograph Drone,48.0,MF2009,50%,8.0,191.0,1878.0,3234.0,9.84,54.0
601-X Integrated Propulsion System for Aerial Photograph Drone,48.0,MF2009,55%,10.08,240.0,2227.0,3519.0,9.28,54.0
601-X Integrated Propulsion System for Aerial Photograph Drone,48.0,MF2009,60%,12.53,298.0,2593.0,3795.0,8.71,54.0
601-X Integrated Propulsion System for Aerial Photograph Drone,48.0,MF2009,65%,15.32,363.0,2974.0,4065.0,8.2,54.0
601-X Integrated Propulsion System for Aerial Photograph Drone,48.0,MF2009,70%,18.44,435.0,3371.0,4326.0,7.75,54.0
601-X Integrated Propulsion System for Aerial Photograph Drone,48.0,MF2009,75%,21.89,515.0,3781.0,4581.0,7.34,54.0
601-X Integrated Propulsion System for Aerial Photograph Drone,48.0,MF2009,80%,25.79,604.0,4217.0,4830.0,6.98,54.0
601-X Integrated Propulsion System for Aerial Photograph Drone,48.0,MF2009,85%,29.89,697.0,4642.0,5066.0,6.66,54.0
601-X Integrated Propulsion System for Aerial Photograph Drone,48.0,MF2009,90%,34.48,801.0,5081.0,5301.0,6.35,54.0
601-X Integrated Propulsion System for Aerial Photograph Drone,48.0,MF2009,95%,37.23,862.0,5330.0,5428.0,6.18,54.0
601-X Integrated Propulsion System for Aerial Photograph Drone,48.0,MF2009,100%,37.74,873.0,5374.0,5456.0,6.15,54.0
"A6_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",51.8,MF2311,30%,3.13,169.02,1794.0,1847.0,72.9,135.0
"A6_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",51.8,MF2311,35%,4.84,261.36,2473.0,2150.0,76.1,135.0
"A6_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",51.8,MF2311,40%,7.08,382.32,3264.0,2445.0,78.64,135.0
"A6_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",51.8,MF2311,45%,9.88,533.52,4139.0,2733.0,80.03,135.0
"A6_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",51.8,MF2311,50%,13.26,716.04,5080.0,3017.0,80.48,135.0
"A6_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",51.8,MF2311,55%,17.27,932.58,6078.0,3290.0,80.66,135.0
"A6_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",51.8,MF2311,60%,21.88,1181.52,7113.0,3549.0,80.51,135.0
"A6_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",51.8,MF2311,65%,27.04,1460.16,8160.0,3794.0,80.03,135.0
"A6_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",51.8,MF2311,70%,32.67,1764.18,9183.0,4026.0,78.97,135.0
"A6_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",51.8,MF2311,75%,38.6,2084.4,10188.0,4240.0,78.24,135.0
"A6_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",51.8,MF2311,80%,44.74,2415.96,11118.0,4439.0,77.14,135.0
"A6_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",51.8,MF2311,85%,50.28,2715.12,11890.0,4617.0,75.92,135.0
"A6_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",51.8,MF2311,90%,52.05,2810.7,12117.0,4776.0,75.26,135.0
"A6_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",51.8,MF2311,95%,52.21,2819.34,12119.0,4903.0,75.07,135.0
"A6_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",51.8,MF2311,100%,52.31,2824.74,12111.0,4937.0,74.93,135.0
"A14-18S_Single-Axis 18S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",69.0,MF56P,30%,12.14,837.66,10911.0,1015.0,81.6,165.0
"A14-18S_Single-Axis 18S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",69.0,MF56P,35%,17.3,1193.7,14043.0,1140.0,83.6,165.0
"A14-18S_Single-Axis 18S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",69.0,MF56P,40%,23.87,1647.03,17668.0,1275.0,85.6,165.0
